[2025-07-14 14:26:42,531 | root | INFO]: 
[2025-07-14 14:26:42,531 | root | ERROR]: 
[2025-07-14 14:26:42,531 | root | INFO]: 
[2025-07-14 14:26:42,531 | root | ERROR]: 
[2025-07-14 14:26:42,531 | root | INFO]: 
[2025-07-14 14:26:42,531 | root | ERROR]: 
[2025-07-14 14:26:42,531 | root | INFO]: 
[2025-07-14 14:26:42,531 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: Running target function target
[2025-07-14 14:26:45,532 | root | INFO]: Arguments: ()
[2025-07-14 14:26:45,532 | root | INFO]: Keyword arguments: {}
[2025-07-14 14:26:45,532 | root | INFO]: Target function is running

[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: 
[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: 
[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: 
[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: 
[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: 
[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: 
[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: 
[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: 
[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:45,532 | root | INFO]: 
[2025-07-14 14:26:45,532 | root | ERROR]: 
[2025-07-14 14:26:46,815 | root | INFO]: Connection from ('127.0.0.1', 56286)
[2025-07-14 14:26:46,815 | root | INFO]: Received command: stop
[2025-07-14 14:26:46,815 | root | INFO]: Stopping daemon
[2025-07-14 14:33:40,548 | root | INFO]: Daemon process with PID: 3628
[2025-07-14 14:33:40,548 | root | INFO]: Daemon listening on 127.0.0.1:21201
[2025-07-14 14:33:43,556 | root | INFO]: Running target function target
[2025-07-14 14:33:43,556 | root | INFO]: Arguments: ()
[2025-07-14 14:33:43,556 | root | INFO]: Keyword arguments: {}
[2025-07-14 14:33:43,556 | root | INFO]: Target function is running

[2025-07-14 14:33:46,562 | root | INFO]: Running target function target
[2025-07-14 14:33:46,562 | root | INFO]: Arguments: ()
[2025-07-14 14:33:46,562 | root | INFO]: Keyword arguments: {}
[2025-07-14 14:33:46,562 | root | INFO]: Target function is running

[2025-07-14 14:33:46,562 | root | INFO]: 
[2025-07-14 14:33:49,571 | root | INFO]: Running target function target
[2025-07-14 14:33:49,571 | root | INFO]: Arguments: ()
[2025-07-14 14:33:49,571 | root | INFO]: Keyword arguments: {}
[2025-07-14 14:33:49,571 | root | INFO]: Target function is running

[2025-07-14 14:33:49,571 | root | INFO]: 
[2025-07-14 14:33:49,571 | root | INFO]: 
[2025-07-14 14:33:52,579 | root | INFO]: Running target function target
[2025-07-14 14:33:52,579 | root | INFO]: Arguments: ()
[2025-07-14 14:33:52,579 | root | INFO]: Keyword arguments: {}
[2025-07-14 14:33:52,579 | root | INFO]: Target function is running

[2025-07-14 14:33:52,579 | root | INFO]: 
[2025-07-14 14:33:52,579 | root | INFO]: 
[2025-07-14 14:33:52,579 | root | INFO]: 
[2025-07-14 14:33:55,212 | root | INFO]: Connection from ('127.0.0.1', 56476)
[2025-07-14 14:33:55,212 | root | INFO]: Received command: stop
[2025-07-14 14:33:55,212 | root | INFO]: Stopping daemon
